timestamp,temp,humidity,rain,cloud,visibility,sunrise,sunset,pwr
1607083200,22.44,56,0,20,10000,1607037634,1607078013,0
1607086800,21.44,60,0,0,10000,1607037634,1607078013,0
1607090400,20.44,60,0,0,10000,1607037634,1607078013,0
1607094000,19.44,68,0,0,10000,1607037634,1607078013,0
1607097600,20,64,0,20,10000,1607037634,1607078013,0
1607101200,19,68,0,20,10000,1607124068,1607164427,0
1607104800,19,72,0,56,9000,1607124068,1607164427,0
1607108400,20,82,0,100,8000,1607124068,1607164427,0
1607112000,18,68,0,68,9000,1607124068,1607164427,0
1607115600,16,77,0,53,9000,1607124068,1607164427,0
1607119200,16,77,0,40,9000,1607124068,1607164427,0
1607122800,15.78,77,0,40,9000,1607124068,1607164427,3.112
1607126400,15.78,77,0,40,8000,1607124068,1607164427,34.408
1607130000,20.48,77,0,0,8000,1607124068,1607164427,68.228
1607133600,20.89,68,0,40,9000,1607124068,1607164427,100.328
1607137200,22.61,56,0,0,9000,1607124068,1607164427,119.76
1607140800,23.48,53,0,0,10000,1607124068,1607164427,127.748
1607144400,24.29,50,0,0,10000,1607124068,1607164427,126.368
1607148000,25.16,47,0,0,10000,1607124068,1607164427,113.736
1607151600,27.75,44,0,0,10000,1607124068,1607164427,92.156
1607155200,27.6,47,0,20,10000,1607124068,1607164427,56.388
1607158800,27.68,44,0,0,10000,1607124068,1607164427,21.844
1607162400,26,47,0,0,10000,1607124068,1607164427,1.852
1607166000,25,50,0,20,9000,1607124068,1607164427,0
1607169600,22.44,64,0,85,9000,1607124068,1607164427,0
1607173200,21.22,68,0,0,10000,1607124068,1607164427,0
1607176800,20.44,60,0,0,10000,1607124068,1607164427,0
1607180400,19.66,77,0,0,10000,1607124068,1607164427,0
1607184000,21,68,0,54,9000,1607124068,1607164427,0
1607187600,20,72,0,43,9000,1607210503,1607250842,0
1607191200,19,72,0,36,9000,1607210503,1607250842,0
1607194800,18,72,0,0,9000,1607210503,1607250842,0
1607198400,17,82,0,0,9000,1607210503,1607250842,0
1607202000,17,82,0,0,9000,1607210503,1607250842,0
1607205600,16,87,0,0,8000,1607210503,1607250842,0
1607209200,14.44,87,0,0,9000,1607210503,1607250842,4.768
1607212800,13.44,93,0,0,8000,1607210503,1607250842,31.872
1607216400,15.78,82,0,0,8000,1607210503,1607250842,69.78
1607220000,19.61,72,0,0,9000,1607210503,1607250842,95.332
1607223600,22.81,60,0,0,9000,1607210503,1607250842,119.976
1607227200,24.2,53,0,0,10000,1607210503,1607250842,128.704
1607230800,25.58,50,0,0,10000,1607210503,1607250842,125.308
1607234400,26.85,47,0,0,10000,1607210503,1607250842,111.576
1607238000,27.54,44,0,0,10000,1607210503,1607250842,90.552
1607241600,28.04,42,0,0,10000,1607210503,1607250842,58.296
1607245200,28.22,42,0,0,10000,1607210503,1607250842,22.752
1607248800,27.4,47,0,0,10000,1607210503,1607250842,1.764
1607252400,26,50,0,0,10000,1607210503,1607250842,0
1607256000,23,60,0,20,9000,1607210503,1607250842,0
1607259600,21.78,64,0,0,10000,1607210503,1607250842,0
1607263200,21,68,0,0,10000,1607210503,1607250842,0
1607266800,20,72,0,0,10000,1607210503,1607250842,0
1607270400,20,68,0,84,9000,1607210503,1607250842,0
1607274000,19,72,0,67,8000,1607296937,1607337258,0
1607277600,18,77,0,51,7000,1607296937,1607337258,0
1607281200,18,77,0,48,7000,1607296937,1607337258,0
1607284800,17,82,0,70,7000,1607296937,1607337258,0
1607288400,17,82,0,70,7000,1607296937,1607337258,0
1607292000,16,87,0,69,7000,1607296937,1607337258,0
1607295600,14.44,87,0,0,9000,1607296937,1607337258,3.268
1607299200,16,93,0,46,6000,1607296937,1607337258,31.8
1607302800,18.71,93,0,0,5000,1607296937,1607337258,68.608
1607306400,19.61,72,0,0,9000,1607296937,1607337258,98.592
1607310000,24.19,64,0,0,8000,1607296937,1607337258,113.436
1607313600,25.77,61,0,0,9000,1607296937,1607337258,123.2
1607317200,25.58,50,0,0,10000,1607296937,1607337258,120.648
1607320800,28.04,51,0,0,10000,1607296937,1607337258,99.088
1607324400,28.64,48,0,0,10000,1607296937,1607337258,92.416
1607328000,28.04,42,0,0,10000,1607296937,1607337258,52.856
1607331600,29.24,48,0,20,10000,1607296937,1607337258,14.176
1607335200,29.22,51,0,20,10000,1607296937,1607337258,1.256
1607338800,27.22,54,0,20,10000,1607296937,1607337258,0
1607342400,25.22,61,0,20,8000,1607296937,1607337258,0
1607346000,24.22,64,0,20,8000,1607296937,1607337258,0
1607349600,23.22,64,0,21,8000,1607296937,1607337258,0
1607353200,22.22,73,0,23,8000,1607296937,1607337258,0
1607356800,22,68,0,20,9000,1607296937,1607337258,0
1607360400,19,72,0,67,8000,1607383372,1607423675,0
1607364000,22,68,0,20,9000,1607383372,1607423675,0
1607367600,21,73,0,20,9000,1607383372,1607423675,0
1607371200,17,82,0,70,7000,1607383372,1607423675,0
1607374800,17.49,77,0,37,10000,1607383372,1607423675,0
1607378400,17.32,76,0,40,10000,1607383372,1607423675,0
1607382000,17.78,82,0,40,9000,1607383372,1607423675,2.096
1607385600,17.78,82,0,40,7000,1607383372,1607423675,21.736
1607389200,20.37,77,0,40,7000,1607383372,1607423675,57.468
1607392800,22.48,72,0,40,8000,1607383372,1607423675,95.384
1607396400,24.25,60,0,72,9000,1607383372,1607423675,117.82
1607400000,25.58,50,0,78,9000,1607383372,1607423675,125.448
1607403600,27.17,47,0,0,10000,1607383372,1607423675,116.32
1607407200,27.85,42,0,87,9000,1607383372,1607423675,106.74
1607410800,28.66,42,0,100,9000,1607383372,1607423675,82.884
1607414400,28.94,39,0,80,9000,1607383372,1607423675,52.624
1607418000,29.23,39,0,55,9000,1607383372,1607423675,20.988
1607421600,28,45,0,41,9000,1607383372,1607423675,1.984
1607425200,26.22,50,0,20,9000,1607383372,1607423675,0
1607428800,24.22,60,0,22,8000,1607383372,1607423675,0
1607432400,22.22,68,0,84,8000,1607383372,1607423675,0
1607436000,21.22,73,0,92,8000,1607383372,1607423675,0
1607439600,21.22,73,0,0,10000,1607383372,1607423675,0
1607443200,21,68,0,96,9000,1607383372,1607423675,0
1607446800,21,68,0,88,9000,1607469806,1607510093,0
1607450400,20,72,0,89,9000,1607469806,1607510093,0
1607454000,19,77,0,87,9000,1607469806,1607510093,0
1607457600,18,82,0,89,8000,1607469806,1607510093,0
1607461200,18,82,0,83,8000,1607469806,1607510093,0
1607464800,16,93,0,72,7000,1607469806,1607510093,0
1607468400,16,87,0,0,10000,1607469806,1607510093,3.908
1607472000,15.78,87,0,48,9000,1607469806,1607510093,31.18
1607475600,16.78,82,0,66,9000,1607469806,1607510093,66.02
1607479200,20.57,68,0,0,10000,1607469806,1607510093,97.356
1607482800,23.31,60,0,0,10000,1607469806,1607510093,117.096
1607486400,24.89,57,0,0,10000,1607469806,1607510093,123.596
1607490000,25.57,53,0,0,10000,1607469806,1607510093,119.5
1607493600,26.57,44,0,0,10000,1607469806,1607510093,106.568
1607497200,27.07,45,0,0,10000,1607469806,1607510093,88.364
1607500800,27.55,39,0,0,10000,1607469806,1607510093,58.62
1607504400,27.93,39,0,0,10000,1607469806,1607510093,22.44
1607508000,26.76,42,0,0,10000,1607469806,1607510093,1.752
1607511600,26.31,44,0,0,10000,1607469806,1607510093,0
1607515200,24,57,0,0,10000,1607469806,1607510093,0
1607518800,22,64,0,0,9000,1607469806,1607510093,0
1607522400,21,64,0,0,8000,1607469806,1607510093,0
1607526000,20.22,68,0,0,10000,1607469806,1607510093,0
1607529600,20,68,0,0,7000,1607469806,1607510093,0
1607533200,19,72,0,1,7000,1607556240,1607596512,0
1607536800,19,72,0,2,7000,1607556240,1607596512,0
1607540400,19,72,0,63,7000,1607556240,1607596512,0
1607544000,18,77,0,44,7000,1607556240,1607596512,0
1607547600,16,87,0,31,7000,1607556240,1607596512,0
1607551200,15,93,0,24,6000,1607556240,1607596512,0
1607554800,15.78,93,0,0,10000,1607556240,1607596512,2.772
1607558400,16,87,0,11,9000,1607556240,1607596512,29.872
1607562000,18.38,93,0,0,5000,1607556240,1607596512,66.504
1607565600,22.5,77,0,0,10000,1607556240,1607596512,96.272
1607569200,24.2,64,0,0,10000,1607556240,1607596512,116.224
1607572800,25.19,61,0,0,10000,1607556240,1607596512,123.876
1607576400,26.83,54,0,0,10000,1607556240,1607596512,121.252
1607580000,27.88,51,0,0,10000,1607556240,1607596512,106.644
1607583600,29.12,48,0,0,10000,1607556240,1607596512,93.188
1607587200,30.22,48,0,0,10000,1607556240,1607596512,51.824
1607590800,30.38,45,0,0,10000,1607556240,1607596512,22.88
1607594400,29.7,48,0,0,10000,1607556240,1607596512,2.288
1607598000,28.78,51,0,0,10000,1607556240,1607596512,0
1607601600,26.22,65,0,20,10000,1607556240,1607596512,0
1607605200,25,69,0,20,10000,1607556240,1607596512,0
1607608800,24,73,0,0,10000,1607556240,1607596512,0
1607612400,23,78,0,0,10000,1607556240,1607596512,0
1607616000,23,56,0,5,9000,1607556240,1607596512,0
1607619600,22,64,0,10,8000,1607642673,1607682932,0
1607623200,22,60,0,13,9000,1607642673,1607682932,0
1607626800,22,60,0,58,9000,1607642673,1607682932,0
1607630400,21,64,0,47,9000,1607642673,1607682932,0
1607634000,19,77,0,54,9000,1607642673,1607682932,0
1607637600,19,77,0,55,9000,1607642673,1607682932,0
